Company,Website,Email,Social,City,Phone,Email Flag
Court Square Diner,https://www.courtsquarediner.com/,courtdine@aol.com,https://www.facebook.com/CourtSquareDiner,Long Island City,+1 718-392-1222,Valid-looking
Montague Diner,https://montaguediner.com/,eat@montaguediner.com,https://www.instagram.com/montaguediner,Brooklyn,+1 718-500-3287,Valid-looking
Westway Diner,https://www.westwaydiner.com/,westwaydiner@gmail.com,https://www.instagram.com/westwaydiner,New York,+1 212-582-7661,Valid-looking
Ellen’s Stardust Diner,https://www.ellensstardustdiner.com/,info@ellensstardustdiner.com,https://www.instagram.com/ellensstardust,New York,+1 212-956-5151,Generic inbox
Manhattan Diner,https://manhattandiner.nyc/,info@manhattandiner.nyc,https://www.instagram.com/manhattandiner,New York,+1 212-932-0068,Generic inbox
NoMad Diner,https://www.nomaddinernyc.com/,hello@nomaddinernyc.com,https://www.instagram.com/nomaddinernyc,New York,+1 332-286-7005,Generic inbox
Shane's Brooklyn,https://shanes-brooklyn.grubbio.com/,contact@grubbio.com,https://www.facebook.com/grubbio,Brooklyn,+1 718-872-6900,Generic inbox
Tick Tock Diner NY,https://www.ticktockdinerny.com/,info@ticktockdinerny.com,https://www.instagram.com/ticktockdiner,New York,+1 212-268-8444,Generic inbox
Grand Canyon Diner,https://grandcr.com/,grandcanyonbh@gmail.com,,Brooklyn,+1 718-499-3660,Valid-looking
Mexico Diner,https://www.mexicodinerbk.com/,mexicodiner16@gmail.com,,Brooklyn,+1 917-471-9191,Valid-looking
Village Diner,https://sites.google.com/view/the-village-diner/home,villagedinerny@gmail.com,,Kew Gardens,+1 718-850-3787,Valid-looking
Golden Diner,https://www.goldendinerny.com/,user@domain.com,https://www.instagram.com/goldendinerny,New York,+1 917-472-7800,Invalid-looking
Kellogg’s Diner,https://www.kelloggsdinernyc.com/,user@domain.com,https://www.instagram.com/kelloggsdinerbk,Brooklyn,+1 718-782-4505,Invalid-looking
New York Diner,https://newyork-diner.com/,example@email.com,https://www.facebook.com/NYDiner1949,Long Island City,+1 718-626-8857,Invalid-looking
Brooklyn Diner,https://www.brooklyndiner.com/,,https://www.instagram.com/brooklyndinerus,New York,+1 212-265-5400,No public email
Brooklyn Diner USA,https://www.brooklyndiner.com/,,https://www.instagram.com/brooklyndinerus,New York,+1 212-977-1957,No public email
Chiangmai Diner & Bar,https://chiangmaidinernyc.com/,,https://www.instagram.com/chiangmai_diner,Brooklyn,+1 718-673-8848,No public email
City Diner,https://www.citydiner.nyc/,,https://www.facebook.com/pages/category/Diner/City-Diner-208538515847958,New York,+1 212-877-2720,No public email
Diner,https://www.dinernyc.com/,,https://www.instagram.com/dinernyc,Brooklyn,+1 718-486-3077,No public email
Diner 24 NYC,https://diner24nyc.com/,,https://www.instagram.com/diner24nyc,New York,+1 646-852-6921,No public email
Florence Prime Diner,https://florenceprimediner.com/,,https://www.instagram.com/florenceprimediner,Elmhurst,+1 718-779-0033,No public email
Terrace Restaurant & Bakery,https://www.terracerestaurantbk.com/,,https://www.instagram.com/terrace_restbk,Brooklyn,+1 929-624-2646,No public email
Three Decker Diner,https://www.threedeckerdiner.com/,,https://www.instagram.com/threedeckerdiner,Brooklyn,+1 718-389-6664,No public email
Times Square Diner & Grill,https://www.timesquaredinerandgrill.com/,,https://www.instagram.com/timessquaredinergrill,New York,+1 212-315-2400,No public email
Windsor Diner,https://windsordiner.com/,,https://www.instagram.com/windsordinerbk,Brooklyn,+1 718-788-9700,No public email
750 Myrtle Diner,,,https://www.instagram.com/750myrtlediner_bk,Brooklyn,+1 201-759-9585,No public email
Buccaneer Diner,https://www.buccaneerdiner.com/,user@domain.com,,East Elmhurst,+1 718-429-5188,Invalid-looking
